timestamp,source,destination,data
20260515_133522,PGW,Fraud,null
20260515_160115,PGW,Fraud,null
2026-05-08 14:31:15,SMSC,Fraud,null
2026-05-15 13:26:02,SMSC,Fraud,null
2026-05-15 13:26:12,SMSC,Fraud,null
2026-05-15 13:26:22,SMSC,Fraud,null
2026-05-15 13:35:12,SMSC,Fraud,null
2026-05-15 13:35:22,SMSC,Fraud,null
2026-05-15 16:01:15,SMSC,Fraud,null
2026-05-08 14:30:16,MSC,Fraud,null
2026-05-08 14:30:26,MSC,Fraud,null
2026-05-08 14:31:05,MSC,Fraud,null
2026-05-08 14:31:15,MSC,Fraud,null
2026-05-15 13:26:02,MSC,Fraud,null
2026-05-15 13:26:12,MSC,Fraud,null
2026-05-15 13:26:22,MSC,Fraud,null
2026-05-15 13:35:12,MSC,Fraud,null
2026-05-15 13:35:22,MSC,Fraud,null
2026-05-15 16:01:15,MSC,Fraud,null
